ds,yhat
2018-08-07 23:00:00,52.517920782219406
2018-08-08 00:00:00,52.55869071865998
2018-08-08 01:00:00,51.77131613484038
2018-08-08 02:00:00,51.37862402088623
2018-08-08 03:00:00,52.14243447168111
2018-08-08 04:00:00,53.87345555949771
2018-08-08 05:00:00,55.61808468761245
2018-08-08 06:00:00,57.45516565906505
2018-08-08 07:00:00,58.52643292994004
2018-08-08 08:00:00,58.40638893927326
2018-08-08 09:00:00,57.94168195564499
2018-08-08 10:00:00,57.15966852031818
2018-08-08 11:00:00,56.36475205993302
2018-08-08 12:00:00,56.42777345295939
2018-08-08 13:00:00,56.149371258280404
2018-08-08 14:00:00,56.35227571507691
2018-08-08 15:00:00,56.984315946054245
2018-08-08 16:00:00,57.99362124313137
2018-08-08 17:00:00,58.824785971618994
